product_id,category_id
94d92dd0bba43162cea2e1b1f31c1dc523de2733,0cce5e2ff34bd08442f322139c66536d314d6c4c
e1a52e32bbe9c1761dd3ca87c648a6c197705262,eaa9d0f295ed1ffc6ab0072ec71c0dd19f969e64
208f3dad4232d2fede2a08d814e3f2511cf01a53,
66a2a0c3d1224550b07d49d61d5b5aab06d5fb46,a7736265768ad6553a916bb933ce36547d304e99
ec25354f5a60aa984cc7d7b0c7a2fb6e01b654bb,57cb561163184d00a2a287fbdcdafb34d584745d
8c783f150eebf102137d876b2a9a4a48e7e88453,320d5b482940ece53470eb514fc7a2812e3d1d15
0773e6beb18a344c2166751fe9e2fba7d053f51d,9d977ee19cda3033f793033b3650bce9e38b5c3e
0bc63a91a6a003d058f77687dbfa5c1308a4e103,6f6a839b855f0bb3618964ac97f50e576620b50e
68b6d22241291ce5f2d20b410f8ba6d91d4a1332,
8813f8908a9ad57ef9ddc9be2440a59b41ffbffd,8fb7399efe3f64abd1b2e57ca4b2491279472749
d5ab5e0f3e1ee787265e0e03ab0d838b4aa19f24,28cc8abe2485aa46a6e74bf53651f1ff30d34c9d
e378d38bcd3f4d553b6e050974fee39603ad0493,437c1024a74dcaefa6083de13385eccd2e3b44a2
a6d5b0010c875e1fef6c8f3e981978c4db660285,88c080af59302544bfee0f8c5b90f11b8f294d26
bed57e222a41327642084d1384bd289e4f519abc,
7dfca0a4a275381c4bd653422852e5a0cf1071f1,520e28ada6d505c602f9b11b026feae4a65f2dee
1e5c99790d741ccb7037957e96bfd3e4f15f0ac5,a0187a6596aba079ef16c6333fdcc0b9e04264a8
f8fc019ee6516a3b39fe1d6dca83d971f6eaf8b0,a95aed22198da147ec48c3d6bd0beaa575626f5d
dd2ff6df7862bc70ec35069d6673a49a5655148c,39b688cbbcc973a30ce268eb76b578a7d8c4339d
99171722ab488af8354d4a0ff80895da01c9bb3f,52373e4a5de228dde0bc74e9ce75447a8523c3c5
b9d7d822c8e73e876a0934f8af905c302343a0bd,ca4460eb5aa4a01ebee0999ca545db537b76a2c2
c7965acab57390c3094ee59f5961729cc7db42d5,1e9029e5fb95ab51bca96e74101652efb96b11c9
ddae9a8f806ffbd50e8b4c9b97ddd2f9c19d02df,6f6a839b855f0bb3618964ac97f50e576620b50e
084d47ee6787f0fece64e4c853a439ae73f79d2e,
1b5a77d521a07fd3a2ed85a99c55668f74831eb1,431f1a29e45428b457673097cf039e9270b61249
fef5630cf3afd11632a54331fb7eaca1f7a6ab77,228331349deb3683053ca8f4ebe0522cee6beda9
8809a3bc35d45e07c3c16aa0dd0504e45ec044ee,437c1024a74dcaefa6083de13385eccd2e3b44a2
e9b12d1a4129a1037fedce747480f5234278b0cb,52373e4a5de228dde0bc74e9ce75447a8523c3c5
65c5b1730c8b51484f69177660a9272375520958,f8cd808775b45c24532b3e6803a8a60d19b832c5
00ee963fc2feb7a1a414119bd25c6e2a6cd5bdaf,b2cac98e3dbcd277877825fa9f23b39ee773e986
a3df016fca5f32851205398bbc3bc5e308a68ba5,07aa506dcbc21ddd2933b7e1922115c362b27d2b
ac02eee24daa2c8107f87754990f37b6b5192f36,fe35286a85711bcd0aebca81560cda9b26060904
af6f61e2e86571d8d2b6927a0fd0da8e37649567,08e215f8ddca777df7c515fa16c6ceabaf0999f8
a8df319061e294a5fbd18f012c03df676471b2ff,bf21977cd60c5912364cb1bf4fd62a7a46924a8c
c6a0500c0b6b2cc7ab72cfbb787c4a6388673bd9,ca4460eb5aa4a01ebee0999ca545db537b76a2c2
4f2510bb5df49fc51988e6308c5f699b927192f5,b10a3588135760dcbde682bf009fc668aea7dc33
8ab6eaf640b2bbb09c4c1ec4331b238e22b3f123,52373e4a5de228dde0bc74e9ce75447a8523c3c5
ada60f74739671776b3859f17eca0991cfe7839c,c5c28cefbe98e68ad1a947cbb939e61ad9597abb
9ed99ebff5eb81ea5d8798269fb20138e86dd7db,694d046b565cfb0be8e0b98bcaf30450a656f56e
9e0fc658c241991b6f3b597d9dd3313e2a453640,
57d3b5574dea3161a80db7537615e2498be143fe,11d19750595851573906d8247f8d2c21640a5a64
5d430e7d0a9e8c5fc1713e1e505dd653ed0acfe1,e8d724f78b14b2d70dadff44c33004dc98e9e1ba
6fc1a497c0c9072659fe2b48f95d5630ffe0408a,11d19750595851573906d8247f8d2c21640a5a64
83a973be50b3d1643ec06095f3d7bf209e62914f,c502b597bfb4b0f83deac1f0fc41fc6e53cf1d65
b092f6cabb54465e2906d8bcf8cfd0ccc20d3a92,
242391728328d0232fab3680fc2a7420c5aa1af6,02c62dbd7e92854f52aaee18d69b3c28e231e79a
505dccc23d00532ad244aad75771312ce8493fbd,02c62dbd7e92854f52aaee18d69b3c28e231e79a
7d327b519484795490b60ba16cbb46bc5e26f635,3d59bfde8594a1ed410c8be4436c960d67271a44
6534b3fe3b67a14dbbb71a10abdc130434a90f0d,
349beb8b6f29cfcea8a48e40946597bf6ee8bb9f,3910b73c3adb2ea4eee4e6ededb147280dd35383
55a1974810c3a6d24a608367f3b1e52c242da8ae,
9e763818f8e04c39fa7a16f4c59c5d68d24c75b5,437c1024a74dcaefa6083de13385eccd2e3b44a2
34a69ade0e39b0795060fb8eb0f67c3067ce6fb8,02c1a1963b4ee3d6e2554c44e7d337c589164560
7c9f71c79e0912d6e6a4dc4e10997b7503a052e5,0c57c5df09a3dacdea8e7c2590096fa047d2f099
54030c7eeb693e3bb5e1b42362506afaf1cc1d38,02cd561759340ee5361a2403afa1286dd6d032f3
37de3b7f93663e24c0b007bf790867c7a53460dd,8dba9cd30f448cff95bf866139ae71dc42ad9ae8
3a0677f2a81a02558467a46f67547c0f50763f52,43102a27c5cf65d35a6d00e7444cd6549d410628
b1297051c34d2f9c10a4c57cd3c4cc74c2a07cf6,ca4460eb5aa4a01ebee0999ca545db537b76a2c2
f979a1af9bf4fd8608b6120b2c3533cac61154e7,f039d9e285145ad28d1679e46f59b5dd0ee75012
8fdcba8d6dbcc0dac3de79dc60733ccffcb17e80,4d57b93ae62e4140e045ef48a5c5baacf6e28eb5
19fcd4f9dcb22006a0dae623b0703bdacf31b3c9,6b311ef0012f99c594be9b2a57b84b9855dfb409
af9cf2b2a606113f6df4998eaba186f87d2b8c39,b2cac98e3dbcd277877825fa9f23b39ee773e986
6d21edf34b3fa7bc375c33f518c3e56ab69d7ed4,437c1024a74dcaefa6083de13385eccd2e3b44a2
49242746cfc9e39fe611e9f07ceb6e6e3818cd3a,ad0bb873114b488f4008bcd92b025371c3a7bf3d
4b5e5069c4bdd52f51777d202a4e8fd65f0c3982,
48851c994d9fcd606327703c0bd4c14d38c8937e,00a1b8b0f2e6aa71b4dd4403dea9046f84546052
7d24ca2a357f90bb89b224ba3e6c1c69062a4550,847ee0a3f4e2fa81688c5082af46c8dfbfcdbd05
80973cfc489b16d001957ac31ce9fdca99a8a032,ff04b5c71573cfc250243017029cb358b8210e1e
85c6933af1b6b196a2c65cd05daefd09e3e6c2c8,4d57b93ae62e4140e045ef48a5c5baacf6e28eb5
5a009f78cc1273ec6b2175ab3f9efda8d8a31a03,c642aa981d169bcba76399f858843878ccc7c9a6
42b7c99e53478bde9c9b88721167531bf2826e9d,02c62dbd7e92854f52aaee18d69b3c28e231e79a
6631f1aeca3d2f2a4e8a3dcd62f440441fadc868,0c57c5df09a3dacdea8e7c2590096fa047d2f099
7d1851daf0ac3faec7115f7479576ac2b25a5fd6,942ff4c54bbff4001750895767b152b9836a4f0f
f6713db353877f41dde828955eeb315926786048,88c080af59302544bfee0f8c5b90f11b8f294d26
7d516923c13a20919845ba77d31e98b02f92a159,
ae0a847b4f1087668fdb52da34f289e022ab3637,370a84bca947897ed9168bc4012ad9b4c86d4d60
b021bfd75f9d29565c60d87a0f10caadb2c62f15,6429b0bf92e5236451fc70ed377e57f1a3c0dd37
2dae8c71d5efeb1b903f244036a7ecfbe5b49343,ebb9b2e4bf79848270c6549475deab7d87458586
2631fae75fad534d5b6e6c33c795b434363b1023,936d30414f256529fbba7ddf654837c8fb6f9f0f
62e1760d6cf6e00153faad07dd6e5c863432e95d,ca4460eb5aa4a01ebee0999ca545db537b76a2c2
c8c19b71d7a8e214741f561c70e6f1c3eaf6af2f,a95aed22198da147ec48c3d6bd0beaa575626f5d
